00000111.jpg,577.103,199.77863,-78.95721,568.6417,192.53572,-65.00085,567.3519,192.76341,-65.03635,565.9844,193.10027,-65.04556,568.3413,193.21082,-82.982796,566.8638,193.81714,-83.02178,565.2617,194.51517,-83.01636,554.9543,201.41316,5.6665583,553.0461,202.00845,-78.01338,576.37616,209.70834,-52.44965,575.6473,209.79524,-76.402435,586.0749,229.27837,18.858578,530.573,274.4831,-47.7455,602.6185,286.62054,71.202736,532.1468,333.02444,-45.114506,599.30383,335.67538,76.78584,522.85956,380.8567,-55.546753,606.203,346.12088,71.353264,517.4015,392.33688,-63.405827,606.5792,345.80685,58.811424,517.739,391.4294,-80.255646,603.2476,342.108,70.10583,521.2842,387.5287,-62.811386,651.4146,356.3242,-0.07417195,598.857,363.2094,0.030334065,744.5319,372.28293,-116.84018,504.45862,375.72952,-158.25854,760.6211,470.90207,-19.098204,505.6578,470.80038,-58.06493,753.76355,488.18704,-12.649071,516.539,490.1039,-50.745724,797.6847,494.33414,-86.71637,468.45657,492.37677,-112.51596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000112.jpg,196.97292,88.68205,100.555855,192.59155,83.82624,82.11878,189.76196,84.13486,82.061134,186.78575,84.42879,82.13902,200.22435,83.87298,80.74046,202.4478,84.171,80.744865,204.9799,84.53389,80.80968,183.17773,89.75514,22.809353,207.12334,89.21872,17.921936,191.47441,97.20711,84.39503,199.69579,96.47638,82.34577,159.3736,130.95511,-1.3930477,231.6095,131.08083,-6.0276318,102.589424,135.7783,53.203617,289.6469,130.4663,43.521484,101.64556,88.28194,135.1119,293.75702,79.67668,113.30246,97.38869,73.95421,142.59093,294.87125,65.335594,118.37693,106.07889,70.546005,140.64297,285.26984,64.834305,118.95935,111.00702,76.206924,138.72389,282.8278,70.77302,117.00648,175.99815,231.77858,9.730058,217.65817,232.51814,-9.838419,114.37526,264.50842,62.73262,287.5842,258.0054,61.23452,113.885796,332.49588,86.2278,286.75262,330.60947,79.46511,122.55207,344.89902,93.50762,276.53375,345.46558,85.38217,83.911476,348.099,133.43976,312.84515,343.64102,122.676575
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000113.jpg,753.05255,493.90268,-812.9687,758.2257,482.388,-801.197,762.7203,481.46582,-801.1428,767.618,480.64102,-801.16296,747.7803,482.30182,-797.9687,744.0683,481.46146,-798.06696,740.3021,480.5391,-798.1104,774.7108,478.26648,-671.15295,733.95544,477.5727,-659.0553,762.2817,502.311,-758.3186,745.27124,501.27768,-755.07544,797.4157,500.60535,-545.4338,705.67487,503.89993,-482.2496,761.00397,594.05225,-563.8692,736.905,590.18665,-515.1944,711.4461,659.3775,-620.6271,788.7328,665.97363,-601.7856,702.92926,673.9803,-674.07025,791.84576,683.56445,-641.82416,696.8302,673.70013,-669.98944,801.75946,680.0706,-663.45337,699.63654,668.7615,-620.5077,802.73267,672.6328,-612.4166,808.05383,536.62024,-20.7308,761.5108,555.77356,20.746037,890.95026,519.8367,-391.89688,684.0201,578.58655,-233.55511,905.098,638.33966,-160.70898,706.57837,661.5505,-29.991402,896.5267,648.07043,-141.94504,704.5225,670.7606,-14.478528,918.7594,674.4506,-273.7123,674.7386,691.4008,-129.21768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000114.jpg,344.44153,131.50372,-347.24927,350.06174,122.1139,-321.65244,353.38486,121.79729,-321.76056,357.23343,121.64792,-321.74707,339.18304,122.38573,-324.27405,335.1918,122.395935,-324.2383,330.7336,122.27511,-324.14487,361.94934,125.58444,-173.63554,324.02756,126.047104,-184.90524,351.57327,143.73723,-292.54898,338.27588,143.6872,-295.73044,397.1896,178.83543,-80.09781,286.2049,179.04471,-105.29232,465.9868,190.13243,-85.90743,210.02386,190.23924,-108.4057,539.8164,177.56737,-218.64714,134.39626,180.1407,-239.81018,561.9225,171.15242,-245.8752,112.04363,170.55649,-260.4551,560.6518,164.96193,-279.11813,110.39721,164.23729,-306.8295,551.70575,168.55908,-239.80513,117.94812,169.05307,-264.74295,373.41663,324.36813,4.904982,300.68747,325.49472,-4.8805513,465.61078,366.59033,-228.57784,204.18805,369.7559,-251.15483,452.4392,477.41852,-3.11014,207.9596,480.2863,-26.949745,440.56012,494.84952,11.733301,217.30777,500.15652,-11.950813,495.65378,506.098,-101.29825,158.50204,511.12262,-128.32852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000115.jpg,944.59045,660.6686,-1325.0352,948.3992,626.7308,-1258.376,960.5925,624.0752,-1258.5859,973.1579,621.74695,-1258.5146,912.68146,636.69385,-1267.5177,898.16345,641.81757,-1267.374,882.3936,648.07825,-1267.0294,988.89087,643.94836,-803.91425,859.7496,679.57465,-842.38635,972.8772,693.0693,-1150.7687,926.93005,708.57935,-1162.208,1121.4792,832.2057,-463.624,753.45874,842.2031,-538.558,1363.7356,836.6593,-383.31808,490.5595,840.0338,-510.56076,1599.5566,817.8904,-715.5755,240.33229,809.31537,-914.6914,1680.757,797.42474,-784.0987,170.89539,782.45154,-987.0523,1688.7899,785.5468,-913.05334,162.40947,775.8487,-1146.3141,1656.3813,799.68164,-784.41547,190.33713,789.7638,-998.1601,1051.8271,1328.5309,8.864029,810.2342,1314.8553,-8.801021,1424.4648,1412.5408,-580.60474,454.69153,1375.3252,-769.52905,1376.476,1747.2458,147.15189,448.49088,1747.6116,-30.809195,1334.1418,1799.69,196.53911,496.9135,1798.9072,25.069868,1503.2225,1867.6934,-141.98268,336.85406,1884.9915,-312.72623
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000117.jpg,1130.262,157.57593,939.1808,1157.4779,144.01569,1032.1498,1172.6295,148.05775,1032.029,1188.066,153.13806,1032.1559,1114.5331,137.7353,1030.9811,1099.6891,137.7246,1031.1913,1083.8535,138.41321,1032.429,1210.3064,187.88454,1340.5264,1067.1599,166.92224,1344.2719,1156.9741,200.38857,1027.9996,1100.4297,192.23384,1029.8608,1266.5227,417.1244,1159.2504,925.8553,352.42035,1175.1184,1351.3538,690.1635,1243.8063,717.99457,584.5558,1090.7894,1598.7382,857.81525,1104.5353,440.8981,673.5261,856.92535,1669.9447,906.83685,1128.2511,357.54962,691.63043,822.5436,1693.2977,886.3882,994.1351,345.56757,668.81946,709.1959,1664.5472,871.13983,1046.4589,376.6005,670.97614,797.464,1028.0422,832.8722,-29.074202,801.2031,758.9255,28.647104,1433.3939,957.5489,-957.3432,235.5261,751.44305,-664.9512,912.3181,1111.2216,-974.28674,680.0305,1069.3076,-723.54474,857.457,1076.1117,-947.8078,754.8199,1071.794,-715.7303,741.02594,1191.9133,-1157.8013,688.3617,1251.2826,-944.2182
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000119.jpg,743.3615,238.69412,-272.72012,749.84705,231.2612,-240.38347,754.1619,231.97208,-240.44958,756.7545,232.60384,-240.39464,736.62244,230.72224,-243.23318,732.6846,231.05548,-243.27383,728.5721,231.48347,-243.14471,761.8747,238.89311,-89.707436,721.67847,236.65622,-101.86893,750.79144,251.47159,-219.6587,734.2327,251.04906,-223.39645,785.11694,295.64548,-10.14991,685.6442,293.23288,-63.59907,856.2386,289.06107,-61.28745,610.9072,291.98376,-161.40602,875.36615,224.54208,-185.27286,610.70856,221.84653,-318.97604,881.2826,204.0534,-215.99446,608.3186,200.86726,-358.32773,872.31757,200.17697,-211.37556,616.6718,198.27043,-354.19525,867.41925,209.18135,-190.27316,621.2293,207.06773,-323.87973,764.0858,444.84503,14.270486,700.5662,443.411,-14.14021,839.8231,523.82367,-193.88428,630.69226,523.68164,-194.43262,822.4791,600.8861,132.3033,629.9441,597.79144,120.99791,807.41785,611.50684,160.05382,639.1448,607.5821,149.15755,847.19855,638.0472,52.88659,621.6334,634.4834,42.07146
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000120.jpg,577.103,199.77863,-78.95721,568.6417,192.53572,-65.00085,567.3519,192.76341,-65.03635,565.9844,193.10027,-65.04556,568.3413,193.21082,-82.982796,566.8638,193.81714,-83.02178,565.2617,194.51517,-83.01636,554.9543,201.41316,5.6665583,553.0461,202.00845,-78.01338,576.37616,209.70834,-52.44965,575.6473,209.79524,-76.402435,586.0749,229.27837,18.858578,530.573,274.4831,-47.7455,602.6185,286.62054,71.202736,532.1468,333.02444,-45.114506,599.30383,335.67538,76.78584,522.85956,380.8567,-55.546753,606.203,346.12088,71.353264,517.4015,392.33688,-63.405827,606.5792,345.80685,58.811424,517.739,391.4294,-80.255646,603.2476,342.108,70.10583,521.2842,387.5287,-62.811386,651.4146,356.3242,-0.07417195,598.857,363.2094,0.030334065,744.5319,372.28293,-116.84018,504.45862,375.72952,-158.25854,760.6211,470.90207,-19.098204,505.6578,470.80038,-58.06493,753.76355,488.18704,-12.649071,516.539,490.1039,-50.745724,797.6847,494.33414,-86.71637,468.45657,492.37677,-112.51596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000121.jpg,275.37527,100.66239,172.28365,270.9276,91.697044,140.43976,267.3311,92.0134,140.33015,263.5275,92.28078,140.46837,279.9162,91.379364,141.70938,282.3363,91.55277,141.76491,284.96756,91.75963,141.90604,257.4736,98.12807,38.048923,286.5922,98.18359,46.24424,267.57422,111.86584,144.2049,278.09766,112.11261,145.90234,210.97093,161.40897,-1.299331,323.96027,161.4172,8.199849,123.36597,151.81711,101.01505,406.5584,147.27747,88.85405,126.28871,79.701,255.44673,406.53134,69.54352,186.56837,120.370186,61.18643,273.0775,409.44363,47.26463,192.28526,134.57838,57.485806,265.2698,396.47638,46.466175,194.77501,140.49425,65.44136,259.9857,392.10327,56.65876,192.12862,230.9828,317.50668,18.830805,304.82242,317.99863,-19.144474,131.40533,331.5527,187.30887,409.49716,333.32883,116.828255,114.17447,445.7814,271.71048,423.1094,451.53732,165.55025,121.14821,466.688,288.80942,413.9206,476.01102,177.01494,75.01334,456.64334,357.18518,468.6045,459.1773,231.7276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000123.png,300.77554,151.36757,-167.62111,303.36557,144.94664,-148.67073,305.5035,144.8882,-148.71495,307.7077,144.88913,-148.64905,296.10623,144.84682,-157.27557,293.16037,144.66393,-157.2953,289.93396,144.45427,-157.30281,307.19403,147.1103,-62.425465,284.40155,146.53156,-101.140015,304.18353,159.01427,-136.30025,295.50568,158.57222,-147.67224,316.518,174.6491,-28.950483,270.9301,177.41927,-113.91817,326.0082,123.88827,-37.848038,275.67618,122.70606,-191.23224,330.11548,70.082504,-78.02713,278.09973,61.06411,-228.48932,332.17307,53.107376,-99.66913,273.56512,45.318684,-258.90723,327.47647,50.680378,-106.067116,276.48972,44.17373,-255.6395,323.58737,58.05133,-85.80856,280.2648,51.42582,-232.31697,317.72736,277.89154,20.502806,284.17026,284.58942,-20.488203,381.94266,300.0368,-96.87193,233.24995,342.41324,-109.31926,367.36026,350.8745,107.85077,221.50146,404.68466,31.449337,358.01202,359.89523,126.13807,227.24184,413.51712,41.633785,390.2368,365.57883,84.924385,202.18628,433.3466,-38.37471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00000124.jpg,151.42085,24.147615,-50.716106,154.44043,20.586288,-38.825165,156.22885,20.669918,-38.839615,157.78604,20.89175,-38.805565,149.05095,20.642435,-38.666416,147.52005,20.791952,-38.677265,145.7327,21.039494,-38.626797,161.27766,24.438814,15.750582,144.71498,24.246552,16.06719,155.10565,29.576061,-31.293253,148.37404,29.901352,-31.210546,174.19725,52.491432,27.982214,132.38873,53.56867,28.730265,189.05632,80.34974,-36.837532,116.555855,80.089386,-31.889132,156.9707,74.97956,-118.95113,145.17094,75.374565,-104.71762,151.50375,66.720024,-136.76772,149.78287,67.824875,-119.58257,152.5059,64.48787,-124.65832,149.71332,65.681015,-111.55574,153.65211,68.23589,-115.61891,149.15778,69.57547,-102.08856,167.16658,113.88245,-3.0570154,139.70784,114.255135,3.0279267,210.93471,135.1579,-90.1157,97.19789,134.70813,-93.52792,217.57382,185.30264,-14.146875,89.298,184.48378,-21.163206,212.85008,193.92426,-8.019566,93.88246,193.91216,-15.463327,238.24884,194.76392,-53.34231,65.19963,195.27425,-63.28586
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
